from,to,time
37213,19307,"03, 01, 2009"
46731,46731,"03, 01, 2009"
19307,19307,"03, 01, 2009"
19635,46731,"03, 01, 2009"
3333,6236,"03, 01, 2009"
42223,42223,"03, 01, 2009"
6236,6236,"03, 01, 2009"
13502,13502,"03, 01, 2009"
13502,13502,"03, 01, 2009"
7565,21380,"03, 01, 2009"
23597,23869,"03, 01, 2009"
36365,17860,"03, 01, 2009"
12274,13552,"03, 01, 2009"
18167,13552,"03, 01, 2009"
26787,36131,"03, 01, 2009"
21380,21380,"03, 01, 2009"
49197,2683,"03, 01, 2009"
50770,47681,"03, 01, 2009"
46914,6561,"03, 01, 2009"
29,23632,"03, 01, 2009"
6561,6561,"03, 01, 2009"
10861,1343,"03, 01, 2009"
3594,27462,"03, 01, 2009"
22656,49372,"03, 01, 2009"
49372,49372,"03, 01, 2009"
22844,74552,"03, 01, 2009"
44743,27462,"03, 01, 2009"
9345,1343,"03, 01, 2009"
1343,1343,"03, 01, 2009"
44330,1343,"03, 01, 2009"
9345,1343,"03, 01, 2009"
9345,1343,"03, 01, 2009"
44330,1343,"03, 01, 2009"
1343,1343,"03, 01, 2009"
24958,24958,"03, 01, 2009"
44330,1343,"03, 01, 2009"
44330,1343,"03, 01, 2009"
255,50820,"03, 01, 2009"
3594,27462,"03, 01, 2009"
9345,1343,"03, 01, 2009"
29,51011,"03, 01, 2009"
50447,20408,"03, 01, 2009"
44330,51011,"03, 01, 2009"
44330,51011,"03, 01, 2009"
19746,14197,"03, 01, 2009"
1343,1343,"03, 01, 2009"
18061,51011,"03, 01, 2009"
18061,51011,"03, 01, 2009"
31945,51029,"03, 01, 2009"
51029,51029,"03, 01, 2009"
4958,49153,"03, 01, 2009"
14089,16177,"03, 01, 2009"
44084,14299,"03, 01, 2009"
3566,2443,"03, 01, 2009"
1666,47738,"03, 01, 2009"
45978,45284,"03, 01, 2009"
14065,1737,"03, 01, 2009"
1737,1737,"03, 01, 2009"
48705,48705,"03, 01, 2009"
1575281,51011,"03, 01, 2009"
10861,49881,"03, 01, 2009"
48684,49881,"03, 01, 2009"
27462,27462,"03, 01, 2009"
49881,49881,"03, 01, 2009"
49881,49881,"03, 01, 2009"
3819,2598,"03, 01, 2009"
1228,4749,"03, 01, 2009"
27580,27580,"03, 01, 2009"
31945,914,"03, 01, 2009"
21632,49153,"03, 01, 2009"
39430,1343,"03, 01, 2009"
1343,1343,"03, 01, 2009"
12570,914,"03, 01, 2009"
1199,43756,"03, 01, 2009"
15614,43756,"03, 01, 2009"
39992,43756,"03, 01, 2009"
914,914,"03, 01, 2009"
4234,13552,"03, 01, 2009"
16076,13552,"03, 01, 2009"
38426,66475,"03, 01, 2009"
9209,1343,"03, 01, 2009"
4234,13552,"03, 01, 2009"
66475,66475,"03, 01, 2009"
14105,2683,"03, 01, 2009"
20860,66475,"03, 01, 2009"
20842,10585,"03, 01, 2009"
1343,1343,"03, 01, 2009"
42926,27805,"03, 01, 2009"
10585,10585,"03, 01, 2009"
729,28543,"03, 01, 2009"
20045,6559,"03, 01, 2009"
20842,10585,"03, 01, 2009"
45914,37196,"03, 01, 2009"
39992,392,"03, 01, 2009"
392,392,"03, 01, 2009"
19839,422,"03, 01, 2009"
41661,46571,"03, 01, 2009"
1337,45284,"03, 01, 2009"
8701,46571,"03, 01, 2009"
15168,22595,"03, 01, 2009"
46571,46571,"03, 01, 2009"
21406,49881,"03, 01, 2009"
1337,48181,"03, 01, 2009"
1337,48181,"03, 01, 2009"
50623,50623,"03, 01, 2009"
50360,50430,"03, 01, 2009"
9021,47738,"03, 01, 2009"
49881,49881,"03, 01, 2009"
49464,42782,"03, 01, 2009"
3850,68788,"03, 01, 2009"
267,29053,"03, 01, 2009"
9786,2098,"03, 01, 2009"
15534,49786,"03, 01, 2009"
23354,28278,"03, 01, 2009"
44639,49786,"03, 01, 2009"
15609,51127,"03, 01, 2009"
33052,51127,"03, 01, 2009"
44639,21152,"03, 01, 2009"
40347,6210,"03, 01, 2009"
23354,9204,"03, 01, 2009"
1,34537,"03, 01, 2009"
1,43058,"03, 01, 2009"
10661,21152,"03, 01, 2009"
46616,46616,"03, 01, 2009"
24950,51142,"03, 01, 2009"
3897,51138,"03, 01, 2009"
25320,25320,"03, 01, 2009"
11908,36465,"03, 01, 2009"
34088,51078,"03, 01, 2009"
1969,11609,"03, 01, 2009"
5190,51078,"03, 01, 2009"
5190,51078,"03, 01, 2009"
51078,51078,"03, 01, 2009"
19635,40872,"04, 01, 2009"
3897,3897,"04, 01, 2009"
44639,41283,"04, 01, 2009"
23283,41283,"04, 01, 2009"
11609,11609,"04, 01, 2009"
23354,41283,"04, 01, 2009"
23354,41283,"04, 01, 2009"
4893,11609,"04, 01, 2009"
40516,9476,"04, 01, 2009"
44639,50090,"04, 01, 2009"
4893,11609,"04, 01, 2009"
50090,50090,"04, 01, 2009"
3043,44004,"04, 01, 2009"
7565,18167,"04, 01, 2009"
44639,50090,"04, 01, 2009"
14444,10578,"04, 01, 2009"
18167,18167,"04, 01, 2009"
33612,33213,"04, 01, 2009"
31486,44996,"04, 01, 2009"
23691,11609,"04, 01, 2009"
18770,33213,"04, 01, 2009"
13154,42782,"04, 01, 2009"
26,44973,"04, 01, 2009"
35092,19635,"04, 01, 2009"
19635,19635,"04, 01, 2009"
18484,48705,"04, 01, 2009"
38332,8741,"04, 01, 2009"
5190,6126,"04, 01, 2009"
33213,33213,"04, 01, 2009"
14069,43496,"04, 01, 2009"
4916,38332,"04, 01, 2009"
38426,44996,"04, 01, 2009"
15061,42974,"04, 01, 2009"
15487,11795,"04, 01, 2009"
42974,42974,"04, 01, 2009"
34820,47135,"04, 01, 2009"
38332,38332,"04, 01, 2009"
42223,14395,"04, 01, 2009"
33612,33213,"04, 01, 2009"
30946,13552,"04, 01, 2009"
86,28817,"04, 01, 2009"
34509,43496,"04, 01, 2009"
5314,18631,"04, 01, 2009"
10661,22897,"04, 01, 2009"
22656,12149,"04, 01, 2009"
14660,41153,"04, 01, 2009"
12149,12149,"04, 01, 2009"
22897,22897,"04, 01, 2009"
33708,40667,"04, 01, 2009"
41283,41283,"04, 01, 2009"
28896,43838,"04, 01, 2009"
19635,50985,"04, 01, 2009"
50985,50985,"04, 01, 2009"
47612,13552,"04, 01, 2009"
23691,49153,"04, 01, 2009"
26160,50985,"04, 01, 2009"
49153,49153,"04, 01, 2009"
27907,50985,"04, 01, 2009"
115,50985,"04, 01, 2009"
2598,49153,"04, 01, 2009"
26160,50985,"04, 01, 2009"
50985,50985,"04, 01, 2009"
372,3892,"04, 01, 2009"
36131,36131,"04, 01, 2009"
3892,3892,"04, 01, 2009"
15625,49985,"04, 01, 2009"
48705,48705,"04, 01, 2009"
4662,1737,"04, 01, 2009"
32187,18393,"04, 01, 2009"
15955,50985,"04, 01, 2009"
3850,51181,"04, 01, 2009"
49985,49985,"04, 01, 2009"
22459,51281,"04, 01, 2009"
40667,40667,"04, 01, 2009"
10661,32484,"04, 01, 2009"
10661,32484,"04, 01, 2009"
16076,51311,"04, 01, 2009"
2635,51281,"04, 01, 2009"
1358,51311,"04, 01, 2009"
29454,29454,"04, 01, 2009"
23667,94958,"04, 01, 2009"
3146,42050,"04, 01, 2009"
11125,48557,"04, 01, 2009"
571,18631,"04, 01, 2009"
3566,51281,"04, 01, 2009"
15000,31671,"04, 01, 2009"
5387,36064,"04, 01, 2009"
29505,36064,"04, 01, 2009"
13724,19839,"04, 01, 2009"
31671,31671,"04, 01, 2009"
18951,19839,"04, 01, 2009"
8946,2398110,"04, 01, 2009"
4646,50147,"04, 01, 2009"
4646,50147,"04, 01, 2009"
3161,42782,"04, 01, 2009"
50003,41582,"04, 01, 2009"
8446,42782,"04, 01, 2009"
8446,42782,"04, 01, 2009"
15000,31671,"04, 01, 2009"
3713,1965,"04, 01, 2009"
50003,47880,"04, 01, 2009"
7512,2398110,"04, 01, 2009"
50453,23339,"04, 01, 2009"
23354,41283,"04, 01, 2009"
47190,36131,"04, 01, 2009"
21152,21152,"04, 01, 2009"
27067,14651,"04, 01, 2009"
2398110,2398110,"04, 01, 2009"
18631,18631,"04, 01, 2009"
2398110,2398110,"04, 01, 2009"
1,42404,"04, 01, 2009"
46642,338,"04, 01, 2009"
42404,42404,"04, 01, 2009"
13118,43058,"04, 01, 2009"
47580,43066,"04, 01, 2009"
7512,2398110,"04, 01, 2009"
1870,1870,"04, 01, 2009"
15534,18909,"04, 01, 2009"
18909,18909,"04, 01, 2009"
5190,29538,"04, 01, 2009"
5599,51325,"04, 01, 2009"
33213,51358,"04, 01, 2009"
29538,29538,"04, 01, 2009"
14749,18651,"04, 01, 2009"
13005,1737,"04, 01, 2009"
13005,28817,"04, 01, 2009"
45978,41153,"04, 01, 2009"
13005,28817,"04, 01, 2009"
2398110,2398110,"04, 01, 2009"
20408,20408,"04, 01, 2009"
17034,16387,"04, 01, 2009"
7512,2398110,"05, 01, 2009"
9530,3153,"05, 01, 2009"
16391,50335,"05, 01, 2009"
3153,3153,"05, 01, 2009"
18413,19956,"05, 01, 2009"
39946,39946,"05, 01, 2009"
48015,41839,"05, 01, 2009"
27204,36848,"05, 01, 2009"
40347,31474,"05, 01, 2009"
41981,48705,"05, 01, 2009"
42124,51414,"05, 01, 2009"
50447,20408,"05, 01, 2009"
42124,46642,"05, 01, 2009"
22656,43960,"05, 01, 2009"
46642,46642,"05, 01, 2009"
43496,43496,"05, 01, 2009"
23829,43960,"05, 01, 2009"
34502,43960,"05, 01, 2009"
33708,43960,"05, 01, 2009"
43960,43960,"05, 01, 2009"
42690,21293,"05, 01, 2009"
51358,51358,"05, 01, 2009"
17174,43960,"05, 01, 2009"
2509,51451,"05, 01, 2009"
41646,12597,"05, 01, 2009"
33213,51451,"05, 01, 2009"
31641,42595,"05, 01, 2009"
51451,51451,"05, 01, 2009"
6440,5441,"05, 01, 2009"
1353085,16313,"05, 01, 2009"
15459,13051,"05, 01, 2009"
6440,51459,"05, 01, 2009"
27294,26081,"05, 01, 2009"
1116,47957,"05, 01, 2009"
40516,48722,"05, 01, 2009"
23354,48722,"05, 01, 2009"
811,12597,"05, 01, 2009"
5302,48722,"05, 01, 2009"
26414,47957,"05, 01, 2009"
41153,41153,"05, 01, 2009"
49572,50700,"05, 01, 2009"
48465,40322,"05, 01, 2009"
35092,39106,"05, 01, 2009"
40322,40322,"05, 01, 2009"
8946,41104,"05, 01, 2009"
39106,39106,"05, 01, 2009"
1440720,1440720,"05, 01, 2009"
8946,1440720,"05, 01, 2009"
6210,6210,"05, 01, 2009"
1796,1965,"05, 01, 2009"
1796,1965,"05, 01, 2009"
1440720,1440720,"05, 01, 2009"
1288,40164,"05, 01, 2009"
1288,40164,"05, 01, 2009"
40164,40164,"05, 01, 2009"
8047,2959,"05, 01, 2009"
49485,40164,"05, 01, 2009"
41211,2701,"05, 01, 2009"
40164,40164,"05, 01, 2009"
2598,40164,"05, 01, 2009"
23072,25320,"05, 01, 2009"
2598,40164,"05, 01, 2009"
37213,51482,"05, 01, 2009"
41646,12597,"05, 01, 2009"
456,28720,"05, 01, 2009"
10415,12448,"05, 01, 2009"
17389,47846,"05, 01, 2009"
37494,47738,"05, 01, 2009"
36157,28720,"05, 01, 2009"
42769,47846,"05, 01, 2009"
2398110,2398110,"05, 01, 2009"
43066,43066,"05, 01, 2009"
47738,47738,"05, 01, 2009"
43058,48957,"05, 01, 2009"
426,51529,"05, 01, 2009"
22489,48957,"05, 01, 2009"
31671,48094,"05, 01, 2009"
18103,43756,"05, 01, 2009"
26387,43756,"05, 01, 2009"
1,51539,"05, 01, 2009"
41111,43756,"05, 01, 2009"
49485,48094,"05, 01, 2009"
34509,3153,"05, 01, 2009"
23691,46915,"05, 01, 2009"
714,39270,"05, 01, 2009"
35197,455847,"05, 01, 2009"
49388,48094,"05, 01, 2009"
3153,3153,"05, 01, 2009"
6461,48581,"05, 01, 2009"
37020,43756,"05, 01, 2009"
372,48581,"05, 01, 2009"
19403,48722,"05, 01, 2009"
46915,46915,"05, 01, 2009"
49032,43756,"05, 01, 2009"
36866,42348,"05, 01, 2009"
39992,42348,"05, 01, 2009"
23354,48722,"05, 01, 2009"
2663,48581,"05, 01, 2009"
49153,1190,"05, 01, 2009"
31945,45606,"05, 01, 2009"
16076,45606,"05, 01, 2009"
13018,42389,"05, 01, 2009"
718,48581,"05, 01, 2009"
19302,3153,"05, 01, 2009"
42124,11236,"05, 01, 2009"
42124,11236,"05, 01, 2009"
42389,42389,"05, 01, 2009"
15416,3153,"05, 01, 2009"
32043,41021,"05, 01, 2009"
11236,11236,"05, 01, 2009"
16076,32718,"05, 01, 2009"
15667,32718,"05, 01, 2009"
48869,3827,"05, 01, 2009"
33052,32718,"05, 01, 2009"
32718,32718,"05, 01, 2009"
10661,356145,"05, 01, 2009"
21677,5441,"05, 01, 2009"
42124,32718,"05, 01, 2009"
18393,51598,"05, 01, 2009"
10661,22702,"05, 01, 2009"
22702,22702,"05, 01, 2009"
8954,46915,"05, 01, 2009"
15625,18406,"05, 01, 2009"
32718,32718,"05, 01, 2009"
46642,28912,"05, 01, 2009"
30297,51627,"05, 01, 2009"
16587,41021,"05, 01, 2009"
41021,41021,"05, 01, 2009"
41021,41021,"05, 01, 2009"
13018,42389,"05, 01, 2009"
1,41021,"05, 01, 2009"
16587,41021,"05, 01, 2009"
13018,42389,"05, 01, 2009"
51627,51627,"05, 01, 2009"
3225,45606,"05, 01, 2009"
1610,41021,"05, 01, 2009"
15625,2554,"05, 01, 2009"
15124,38892,"05, 01, 2009"
27437,38892,"05, 01, 2009"
985,356145,"05, 01, 2009"
38892,38892,"05, 01, 2009"
42124,34022,"05, 01, 2009"
377,274,"05, 01, 2009"
16777,50356,"05, 01, 2009"
15467,750,"05, 01, 2009"
2763,191,"05, 01, 2009"
3542,51649,"05, 01, 2009"
3542,51649,"05, 01, 2009"
50111,27580,"05, 01, 2009"
22564,38892,"05, 01, 2009"
3225,25515,"05, 01, 2009"
51323,50477,"05, 01, 2009"
3542,1010,"05, 01, 2009"
50477,50477,"05, 01, 2009"
4597,1010,"05, 01, 2009"
6461,25515,"05, 01, 2009"
51323,50477,"05, 01, 2009"
9204,28912,"05, 01, 2009"
51649,51649,"05, 01, 2009"
34022,34022,"05, 01, 2009"
23354,49971,"05, 01, 2009"
51655,51655,"05, 01, 2009"
33732,50477,"05, 01, 2009"
17160,51540,"05, 01, 2009"
50477,50477,"05, 01, 2009"
10585,50477,"05, 01, 2009"
32632,1353085,"05, 01, 2009"
44996,28817,"05, 01, 2009"
12597,12597,"06, 01, 2009"
10661,50477,"06, 01, 2009"
36131,36131,"06, 01, 2009"
5696608,20520,"06, 01, 2009"
44853,15918,"06, 01, 2009"
4003,15918,"06, 01, 2009"
7512,15918,"06, 01, 2009"
11529,1010,"06, 01, 2009"
20520,20520,"06, 01, 2009"
304,40933,"06, 01, 2009"
44853,15918,"06, 01, 2009"
43089,22186,"06, 01, 2009"
22186,22186,"06, 01, 2009"
23771,11802,"06, 01, 2009"
6461,15918,"06, 01, 2009"
16587,41021,"06, 01, 2009"
39106,51683,"06, 01, 2009"
21755,22186,"06, 01, 2009"
1821,30479,"06, 01, 2009"
21755,22186,"06, 01, 2009"
21755,22186,"06, 01, 2009"
225,32718,"06, 01, 2009"
22186,22186,"06, 01, 2009"
42124,41021,"06, 01, 2009"
38791,38791,"06, 01, 2009"
7565,30479,"06, 01, 2009"
15625,40644,"06, 01, 2009"
31641,15918,"06, 01, 2009"
16645,11356,"06, 01, 2009"
42124,51710,"06, 01, 2009"
42124,2361,"06, 01, 2009"
11356,11356,"06, 01, 2009"
51710,51710,"06, 01, 2009"
40516,51713,"06, 01, 2009"
22303,51713,"06, 01, 2009"
47161,40164,"06, 01, 2009"
39443,22083,"06, 01, 2009"
16587,51713,"06, 01, 2009"
37020,42891,"06, 01, 2009"
3207,20894,"06, 01, 2009"
19302,42891,"06, 01, 2009"
2894,51717,"06, 01, 2009"
13018,28950,"06, 01, 2009"
40516,51713,"06, 01, 2009"
15689,42891,"06, 01, 2009"
30568,12597,"06, 01, 2009"
30568,12597,"06, 01, 2009"
10661,51717,"06, 01, 2009"
16587,51713,"06, 01, 2009"
16587,51713,"06, 01, 2009"
672,49544,"06, 01, 2009"
45838,8047,"06, 01, 2009"
419,49611,"06, 01, 2009"
7890,6164,"06, 01, 2009"
42124,47341,"06, 01, 2009"
5314,19072,"06, 01, 2009"
42124,47341,"06, 01, 2009"
15689,18167,"06, 01, 2009"
8047,8047,"06, 01, 2009"
4279,13930,"06, 01, 2009"
28950,28950,"06, 01, 2009"
2974,2974,"06, 01, 2009"
811,28950,"06, 01, 2009"
42126,19072,"06, 01, 2009"
15168,28804,"06, 01, 2009"
811,34731,"06, 01, 2009"
28950,28950,"06, 01, 2009"
1353,40933,"06, 01, 2009"
16457,47019,"06, 01, 2009"
41104,41104,"06, 01, 2009"
419,51746,"06, 01, 2009"
15880,5274,"06, 01, 2009"
47019,47019,"06, 01, 2009"
27067,2283,"06, 01, 2009"
33708,5274,"06, 01, 2009"
4893,40933,"06, 01, 2009"
37494,37494,"06, 01, 2009"
21755,51746,"06, 01, 2009"
28045,28045,"06, 01, 2009"
4893,28045,"06, 01, 2009"
23072,1428,"06, 01, 2009"
3333,51717,"06, 01, 2009"
23072,23072,"06, 01, 2009"
26682,42891,"06, 01, 2009"
20860,48266,"06, 01, 2009"
6899,51518,"06, 01, 2009"
33708,20700,"06, 01, 2009"
5965,5965,"06, 01, 2009"
26682,51713,"06, 01, 2009"
17034,39084,"06, 01, 2009"
4234,14744,"06, 01, 2009"
8252,17744,"06, 01, 2009"
39893,39893,"06, 01, 2009"
26682,32462,"06, 01, 2009"
17744,17744,"06, 01, 2009"
678,50312,"06, 01, 2009"
39992,34039,"06, 01, 2009"
17174,1219,"06, 01, 2009"
79101,343,"06, 01, 2009"
26198,26198,"06, 01, 2009"
1116,47645,"06, 01, 2009"
4958,37664,"06, 01, 2009"
34824,343,"06, 01, 2009"
